loan_amnt,term,int_rate,grade,home_ownership,annual_inc,purpose,loan_status
12000,60 months,10.37,B,MORTGAGE,73000,small_business,Charged Off
8775,36 months,7.29,A,RENT,46104,credit_card,Fully Paid
25000,60 months,17.88,E,MORTGAGE,2.00E+05,small_business,Fully Paid
4200,60 months,10.74,B,MORTGAGE,40000,renewable_energy,Charged Off
18000,60 months,16.02,D,MORTGAGE,45000,home_improvement,Fully Paid
25000,60 months,16.77,E,MORTGAGE,94600,house,Fully Paid
12000,36 months,7.66,A,MORTGAGE,50000,debt_consolidation,Fully Paid
16000,36 months,10.74,B,RENT,43680,debt_consolidation,Fully Paid
14000,36 months,6.92,A,RENT,37000,credit_card,Fully Paid
22000,60 months,16.77,E,RENT,50000,wedding,Fully Paid
8000,60 months,10.37,B,RENT,25000,wedding,Fully Paid
17500,60 months,14.17,C,MORTGAGE,50757,credit_card,Fully Paid
7800,60 months,14.91,D,MORTGAGE,94000,other,Fully Paid
25000,60 months,16.02,D,RENT,67200,debt_consolidation,Charged Off
12000,36 months,13.43,C,MORTGAGE,78000,credit_card,Fully Paid
25000,60 months,15.65,D,RENT,60000,home_improvement,Fully Paid
15000,36 months,7.66,A,RENT,36000,credit_card,Fully Paid
5200,36 months,13.06,C,RENT,45000,debt_consolidation,Fully Paid
6000,36 months,10.37,B,RENT,48000,house,Fully Paid
15000,36 months,18.62,F,RENT,58000,debt_consolidation,Fully Paid
10000,36 months,7.29,A,MORTGAGE,54000,debt_consolidation,Fully Paid
8000,36 months,9.63,B,RENT,62000,car,Fully Paid
2000,36 months,5.79,A,MORTGAGE,44000,major_purchase,Fully Paid
11700,36 months,7.66,A,MORTGAGE,55000,debt_consolidation,Fully Paid
9000,36 months,5.79,A,MORTGAGE,75000,home_improvement,Fully Paid
12000,36 months,7.29,A,MORTGAGE,95000,house,Fully Paid
4000,36 months,10.37,B,RENT,52000,moving,Fully Paid
5500,36 months,17.51,E,RENT,33000,debt_consolidation,Fully Paid
18000,36 months,10,B,MORTGAGE,68000,small_business,Fully Paid
12000,60 months,14.91,D,MORTGAGE,36000,major_purchase,Fully Paid
8000,36 months,7.29,A,RENT,43300,car,Fully Paid
25000,60 months,18.25,F,MORTGAGE,60000,debt_consolidation,Charged Off
6500,36 months,7.29,A,MORTGAGE,97192,home_improvement,Fully Paid
6000,36 months,12.68,C,RENT,90000,credit_card,Charged Off
13000,36 months,10.37,B,MORTGAGE,78000,debt_consolidation,Fully Paid
15000,36 months,7.66,A,MORTGAGE,47000,small_business,Fully Paid
6550,36 months,5.79,A,MORTGAGE,62000,debt_consolidation,Fully Paid
5800,36 months,10.37,B,RENT,73000,credit_card,Fully Paid
10000,36 months,10.74,B,RENT,38004,debt_consolidation,Fully Paid
4200,60 months,9.63,B,MORTGAGE,65000,major_purchase,Fully Paid
20000,60 months,14.17,C,RENT,43000,small_business,Charged Off
10000,36 months,5.79,A,RENT,26400,major_purchase,Fully Paid
12000,60 months,10.74,B,RENT,30694,moving,Fully Paid
5000,60 months,10.37,B,RENT,38000,car,Fully Paid
8875,36 months,10.74,B,RENT,23000,other,Charged Off
8000,36 months,10.37,B,RENT,60000,debt_consolidation,Fully Paid
14400,36 months,13.8,C,MORTGAGE,85000,credit_card,Charged Off
7000,36 months,5.79,A,OWN,46932,major_purchase,Charged Off
16725,36 months,10.74,B,MORTGAGE,69638.4,debt_consolidation,Fully Paid
20000,36 months,11.11,B,MORTGAGE,120000,debt_consolidation,Fully Paid
9000,60 months,10.37,B,OWN,43000,credit_card,Fully Paid
25000,36 months,13.43,C,RENT,53000,small_business,Fully Paid
10000,60 months,18.62,F,OWN,40000,debt_consolidation,Fully Paid
7000,36 months,10.74,B,RENT,26280,credit_card,Fully Paid
6000,60 months,12.68,C,RENT,52000,major_purchase,Fully Paid
6000,36 months,11.11,B,OWN,47000,debt_consolidation,Fully Paid
12000,36 months,10.37,B,RENT,40000,other,Fully Paid
8000,60 months,11.11,B,MORTGAGE,48000,small_business,Fully Paid
25000,36 months,13.43,C,MORTGAGE,150000,debt_consolidation,Fully Paid
9000,36 months,6.92,A,RENT,37000,credit_card,Fully Paid
5000,36 months,16.4,E,RENT,54996,other,Charged Off
9600,36 months,14.17,C,OWN,65000,credit_card,Fully Paid
12000,60 months,12.68,C,MORTGAGE,119600,major_purchase,Fully Paid
3250,36 months,10.74,B,MORTGAGE,32000,debt_consolidation,Charged Off
20000,36 months,15.28,D,OWN,90000,debt_consolidation,Fully Paid
14675,36 months,9.63,B,MORTGAGE,52000,debt_consolidation,Fully Paid
4200,36 months,14.17,C,RENT,14400,credit_card,Fully Paid
15000,60 months,17.14,E,OWN,87282,credit_card,Fully Paid
13225,36 months,10.37,B,MORTGAGE,64000,debt_consolidation,Fully Paid
2250,60 months,13.43,C,RENT,8000,debt_consolidation,Charged Off
7200,36 months,7.29,A,MORTGAGE,64000,credit_card,Fully Paid
20000,36 months,15.65,D,RENT,54000,debt_consolidation,Fully Paid
6400,36 months,5.79,A,RENT,30000,debt_consolidation,Fully Paid
10000,36 months,11.11,B,MORTGAGE,114000,car,Fully Paid
15000,36 months,14.17,C,MORTGAGE,80000,small_business,Fully Paid
3700,36 months,10.74,B,MORTGAGE,117000,credit_card,Fully Paid
3000,36 months,15.28,D,RENT,21000,small_business,Fully Paid
10000,60 months,17.88,E,RENT,30000,wedding,Fully Paid
7500,60 months,11.11,B,RENT,21840,debt_consolidation,Fully Paid
2500,36 months,12.68,C,RENT,20640,debt_consolidation,Fully Paid
15000,60 months,20.11,G,RENT,36000,debt_consolidation,Charged Off
25000,36 months,10.74,B,OWN,55000,small_business,Charged Off
6000,36 months,13.06,C,MORTGAGE,44004,home_improvement,Fully Paid
9200,60 months,16.02,D,RENT,50000,small_business,Charged Off
12750,60 months,13.06,C,MORTGAGE,60000,debt_consolidation,Fully Paid
20000,36 months,18.99,F,MORTGAGE,170000,small_business,Fully Paid
18000,36 months,10.74,B,MORTGAGE,120000,debt_consolidation,Fully Paid
17000,36 months,15.65,D,MORTGAGE,95000,small_business,Fully Paid
25000,60 months,15.65,D,MORTGAGE,92000,debt_consolidation,Fully Paid
22000,60 months,15.65,D,RENT,50000,debt_consolidation,Charged Off
10000,60 months,17.14,E,OWN,65000,major_purchase,Fully Paid
25000,36 months,15.28,D,RENT,53000,debt_consolidation,Fully Paid
15000,36 months,16.02,D,RENT,72000,other,Fully Paid
1400,60 months,13.8,C,RENT,29500,major_purchase,Fully Paid
10000,60 months,12.68,C,RENT,42000,home_improvement,Fully Paid
8375,60 months,12.68,C,MORTGAGE,33120,debt_consolidation,Fully Paid
20000,36 months,14.54,D,MORTGAGE,83000,debt_consolidation,Fully Paid
6400,36 months,5.79,A,RENT,42000,car,Fully Paid
10000,36 months,7.29,A,RENT,32000,debt_consolidation,Fully Paid
6000,60 months,10.37,B,MORTGAGE,90000,car,Fully Paid
12000,36 months,10.37,B,RENT,60000,credit_card,Fully Paid
13000,60 months,18.25,F,RENT,58000,credit_card,Fully Paid
20000,36 months,11.11,B,MORTGAGE,56533,credit_card,Fully Paid
18000,36 months,11.11,B,MORTGAGE,57000,debt_consolidation,Fully Paid
9600,60 months,17.51,E,RENT,65000,small_business,Charged Off
10000,36 months,10,B,RENT,29000,debt_consolidation,Fully Paid
12000,60 months,18.62,F,RENT,39900,credit_card,Fully Paid
10000,60 months,18.25,F,RENT,36000,small_business,Fully Paid
25000,36 months,10.37,B,MORTGAGE,150000,debt_consolidation,Fully Paid
12000,60 months,11.11,B,RENT,80000,other,Fully Paid
6625,60 months,10.74,B,MORTGAGE,17946,debt_consolidation,Fully Paid
4000,36 months,10.74,B,RENT,34800,debt_consolidation,Fully Paid
25000,36 months,15.28,D,MORTGAGE,174996,small_business,Fully Paid
8000,36 months,7.29,A,RENT,30996,debt_consolidation,Fully Paid
17050,60 months,15.65,D,MORTGAGE,55000,debt_consolidation,Charged Off
3600,36 months,6.92,A,MORTGAGE,65000,credit_card,Fully Paid
8000,36 months,10.37,B,RENT,51996,debt_consolidation,Fully Paid
8000,36 months,12.68,C,MORTGAGE,35000,debt_consolidation,Fully Paid
2400,36 months,12.23,C,RENT,16428,debt_consolidation,Fully Paid
20000,60 months,12.68,C,MORTGAGE,105000,small_business,Fully Paid
13000,60 months,10.74,B,RENT,84032,other,Fully Paid
20000,36 months,13.43,C,MORTGAGE,98000,debt_consolidation,Charged Off
7000,36 months,7.29,A,RENT,56000,debt_consolidation,Fully Paid
12000,36 months,7.66,A,RENT,33280,debt_consolidation,Fully Paid
20400,36 months,10.37,B,RENT,69996,debt_consolidation,Fully Paid
2500,60 months,7.66,A,MORTGAGE,44000,major_purchase,Fully Paid
12000,60 months,13.8,C,MORTGAGE,68400,home_improvement,Fully Paid
8000,36 months,5.42,A,MORTGAGE,108000,home_improvement,Fully Paid
12000,36 months,15.65,D,RENT,48000,debt_consolidation,Fully Paid
6000,60 months,7.66,A,RENT,49000,vacation,Fully Paid
4400,36 months,13.8,C,RENT,95459,other,Fully Paid
2000,36 months,10.74,B,OWN,42900,debt_consolidation,Fully Paid
10000,36 months,16.02,D,RENT,68000,debt_consolidation,Fully Paid
8000,36 months,9.63,B,RENT,125000,debt_consolidation,Fully Paid
8500,60 months,10.74,B,MORTGAGE,38000,debt_consolidation,Fully Paid
9600,36 months,5.79,A,MORTGAGE,65000,home_improvement,Fully Paid
25000,36 months,13.43,C,RENT,78000,small_business,Fully Paid
4000,36 months,13.8,C,RENT,36000,other,Fully Paid
25000,60 months,17.51,E,MORTGAGE,104004,major_purchase,Fully Paid
7000,36 months,5.79,A,RENT,42000,debt_consolidation,Fully Paid
10000,36 months,5.79,A,MORTGAGE,60000,vacation,Fully Paid
5500,36 months,7.66,A,MORTGAGE,48000,debt_consolidation,Charged Off
11800,36 months,6.92,A,RENT,40000,debt_consolidation,Fully Paid
2500,36 months,7.66,A,MORTGAGE,70800,car,Charged Off
14500,36 months,7.29,A,MORTGAGE,52828,credit_card,Fully Paid
6500,36 months,7.29,A,MORTGAGE,48000,car,Fully Paid
1000,36 months,10.74,B,RENT,43200,debt_consolidation,Fully Paid
6000,36 months,5.42,A,OWN,84000,debt_consolidation,Fully Paid
8500,36 months,6.92,A,RENT,75000,debt_consolidation,Charged Off
25000,36 months,10.74,B,MORTGAGE,72444,medical,Fully Paid
8800,36 months,10,B,RENT,65000,debt_consolidation,Fully Paid
15000,36 months,15.28,D,RENT,45000,small_business,Fully Paid
12000,36 months,10.37,B,RENT,85000,credit_card,Fully Paid
16750,36 months,16.4,E,MORTGAGE,51000,debt_consolidation,Fully Paid
10000,36 months,17.14,E,RENT,46000,debt_consolidation,Fully Paid
8000,36 months,6.92,A,MORTGAGE,72000,debt_consolidation,Fully Paid
6000,36 months,7.29,A,MORTGAGE,36000,home_improvement,Fully Paid
2375,36 months,10,B,RENT,9600,moving,Charged Off
17000,60 months,12.68,C,RENT,42000,debt_consolidation,Charged Off
10000,36 months,11.11,B,MORTGAGE,45000,debt_consolidation,Fully Paid
3800,36 months,7.29,A,RENT,13200,debt_consolidation,Charged Off
20000,60 months,16.02,D,RENT,84000,debt_consolidation,Fully Paid
25000,60 months,16.02,D,RENT,70000,debt_consolidation,Charged Off
14125,60 months,10.37,B,MORTGAGE,52000,debt_consolidation,Charged Off
17000,36 months,7.66,A,RENT,42000,major_purchase,Fully Paid
12000,60 months,13.06,C,RENT,85000,wedding,Fully Paid
19200,60 months,17.14,E,RENT,102000,home_improvement,Fully Paid
3500,36 months,7.29,A,MORTGAGE,75996,other,Fully Paid
7000,36 months,7.29,A,RENT,70356,major_purchase,Fully Paid
2000,36 months,14.91,D,RENT,43200,debt_consolidation,Charged Off
4500,36 months,12.68,C,RENT,35004,other,Fully Paid
7200,36 months,5.79,A,MORTGAGE,84000,debt_consolidation,Fully Paid
12800,36 months,6.92,A,MORTGAGE,76800,credit_card,Fully Paid
6000,60 months,15.28,D,RENT,28632,debt_consolidation,Fully Paid
16000,60 months,17.88,E,RENT,48000,credit_card,Fully Paid
25000,36 months,13.8,C,MORTGAGE,125000,home_improvement,Fully Paid
1500,36 months,11.11,B,RENT,28452,other,Fully Paid
7200,36 months,6.92,A,MORTGAGE,60000,credit_card,Fully Paid
3600,60 months,10,B,MORTGAGE,70800,car,Fully Paid
17000,60 months,13.06,C,MORTGAGE,75000,debt_consolidation,Fully Paid
6400,36 months,10.37,B,MORTGAGE,103000,debt_consolidation,Fully Paid
25000,36 months,14.17,C,MORTGAGE,232500,home_improvement,Fully Paid
7000,60 months,13.8,C,RENT,65000,debt_consolidation,Fully Paid
10000,36 months,5.79,A,RENT,35000,debt_consolidation,Fully Paid
6500,36 months,11.11,B,MORTGAGE,80000,debt_consolidation,Fully Paid
10250,60 months,10,B,RENT,27552,small_business,Charged Off
1800,36 months,5.42,A,OWN,27996,debt_consolidation,Fully Paid
1200,36 months,10.37,B,RENT,9600,debt_consolidation,Fully Paid
7500,60 months,10,B,MORTGAGE,106000,debt_consolidation,Fully Paid
5600,36 months,13.43,C,MORTGAGE,80000,debt_consolidation,Fully Paid
5600,36 months,9.63,B,MORTGAGE,24000,debt_consolidation,Fully Paid
5000,36 months,6.92,A,RENT,39996,other,Fully Paid
13250,36 months,16.4,E,RENT,30000,debt_consolidation,Fully Paid
4800,36 months,5.79,A,RENT,33600,car,Fully Paid
10050,60 months,13.06,C,MORTGAGE,39000,home_improvement,Charged Off
18400,36 months,9.63,B,MORTGAGE,120000,major_purchase,Fully Paid
1800,60 months,10.37,B,RENT,24000,medical,Fully Paid
13550,60 months,18.62,F,RENT,93000,debt_consolidation,Fully Paid
6000,36 months,10,B,RENT,79000,debt_consolidation,Fully Paid
10000,60 months,7.66,A,OWN,48000,debt_consolidation,Fully Paid
25000,36 months,11.11,B,MORTGAGE,70000,debt_consolidation,Fully Paid
25000,60 months,18.62,F,RENT,1.00E+05,debt_consolidation,Charged Off
12200,36 months,15.28,D,MORTGAGE,51600,debt_consolidation,Fully Paid
20000,36 months,12.68,C,OWN,1.00E+05,small_business,Fully Paid
7500,60 months,16.4,E,RENT,41600,debt_consolidation,Fully Paid
7200,36 months,7.29,A,RENT,40351.56,debt_consolidation,Fully Paid
8000,36 months,15.65,D,RENT,70000,debt_consolidation,Fully Paid
25000,60 months,20.85,G,MORTGAGE,77508,small_business,Fully Paid
15000,60 months,9.99,B,MORTGAGE,98400,medical,Fully Paid
9975,60 months,13.8,C,RENT,30996,other,Fully Paid
5300,36 months,5.42,A,RENT,20160,debt_consolidation,Fully Paid
8000,36 months,10,B,MORTGAGE,78000,credit_card,Fully Paid
12000,36 months,7.66,A,RENT,45000,debt_consolidation,Fully Paid
9600,60 months,12.68,C,MORTGAGE,85000,debt_consolidation,Charged Off
6000,36 months,9.63,B,RENT,72000,debt_consolidation,Fully Paid
12000,36 months,10.74,B,MORTGAGE,110000,small_business,Fully Paid
15000,36 months,13.43,C,RENT,75000,debt_consolidation,Charged Off
19000,60 months,16.02,D,RENT,50000,debt_consolidation,Charged Off
18000,60 months,14.17,C,MORTGAGE,129000,debt_consolidation,Charged Off
20000,36 months,13.8,C,RENT,65000,wedding,Fully Paid
20000,60 months,18.25,F,MORTGAGE,71964,debt_consolidation,Fully Paid
10000,36 months,5.79,A,MORTGAGE,137004,debt_consolidation,Fully Paid
12000,36 months,10.74,B,RENT,46000,debt_consolidation,Fully Paid
6000,36 months,7.66,A,RENT,40000,debt_consolidation,Fully Paid
25000,36 months,13.8,C,RENT,430000,small_business,Fully Paid
5375,36 months,11.11,B,OWN,28800,small_business,Fully Paid
12000,36 months,7.66,A,RENT,29435,credit_card,Fully Paid
5000,36 months,5.42,A,MORTGAGE,105000,car,Fully Paid
5000,36 months,7.29,A,OWN,60000,major_purchase,Fully Paid
15000,60 months,18.99,F,MORTGAGE,150000,debt_consolidation,Fully Paid
25000,60 months,15.65,D,OWN,65000,debt_consolidation,Fully Paid
3000,36 months,11.11,B,MORTGAGE,80000,small_business,Fully Paid
12000,36 months,7.29,A,RENT,64575,wedding,Fully Paid
5000,36 months,6.92,A,RENT,44908,debt_consolidation,Fully Paid
3000,60 months,14.91,D,RENT,28800,wedding,Fully Paid
6000,36 months,10.74,B,OWN,28800,car,Fully Paid
9625,36 months,10.74,B,MORTGAGE,115731,debt_consolidation,Fully Paid
19200,60 months,19.36,F,MORTGAGE,83000,debt_consolidation,Fully Paid
14000,36 months,10.37,B,RENT,82000,debt_consolidation,Fully Paid
12000,36 months,7.29,A,RENT,35400,debt_consolidation,Fully Paid
2000,60 months,13.8,C,RENT,16992,major_purchase,Fully Paid
13800,60 months,15.65,D,MORTGAGE,27600,car,Fully Paid
8400,36 months,14.91,D,MORTGAGE,62400,small_business,Charged Off
12000,60 months,10.37,B,OWN,24000,medical,Fully Paid
10000,36 months,7.66,A,RENT,107500,car,Fully Paid
4000,60 months,13.06,C,RENT,15600,debt_consolidation,Fully Paid
5600,36 months,10.37,B,MORTGAGE,56000,debt_consolidation,Fully Paid
6000,36 months,5.79,A,RENT,50000,medical,Fully Paid
8000,36 months,5.79,A,OWN,40000,small_business,Charged Off
6000,60 months,7.29,A,RENT,67500,house,Fully Paid
7750,36 months,10.37,B,OWN,27000,debt_consolidation,Fully Paid
24250,60 months,12.61,C,MORTGAGE,54000,home_improvement,Charged Off
8000,36 months,10,B,RENT,43000,debt_consolidation,Fully Paid
10000,36 months,13.06,C,RENT,84000,car,Charged Off
6800,36 months,13.06,C,MORTGAGE,77604,car,Fully Paid
25000,60 months,21.59,G,OWN,60000,small_business,Charged Off
14000,36 months,10,B,RENT,120000,debt_consolidation,Fully Paid
16000,36 months,9.63,B,MORTGAGE,172000,wedding,Fully Paid
18000,36 months,10.37,B,MORTGAGE,115000,debt_consolidation,Fully Paid
13475,60 months,15.28,D,MORTGAGE,41529.6,debt_consolidation,Fully Paid
2500,36 months,5.42,A,MORTGAGE,39996,major_purchase,Fully Paid
2400,60 months,17.14,E,RENT,21000,debt_consolidation,Fully Paid
4000,36 months,12.68,C,RENT,22000,debt_consolidation,Fully Paid
2300,36 months,13.43,C,RENT,68000,debt_consolidation,Charged Off
9000,60 months,10.37,B,RENT,60000,debt_consolidation,Fully Paid
16000,60 months,13.43,C,MORTGAGE,51000,home_improvement,Fully Paid
12500,36 months,10.37,B,RENT,45000,debt_consolidation,Fully Paid
10000,36 months,11.11,B,MORTGAGE,75000,home_improvement,Fully Paid
9000,60 months,15.28,D,MORTGAGE,28000,car,Fully Paid
10000,36 months,10.37,B,RENT,38004,other,Fully Paid
13000,36 months,7.29,A,MORTGAGE,48500,credit_card,Fully Paid
20000,60 months,16.77,E,RENT,1.00E+05,small_business,Charged Off
16750,60 months,16.4,E,RENT,45000,debt_consolidation,Fully Paid
9000,36 months,7.66,A,MORTGAGE,86400,car,Charged Off
11400,60 months,12.68,C,RENT,70000,debt_consolidation,Fully Paid
11000,36 months,16.02,D,RENT,67000,wedding,Fully Paid
7200,36 months,7.29,A,RENT,50000,debt_consolidation,Fully Paid
5000,36 months,5.42,A,MORTGAGE,85000,major_purchase,Fully Paid
7000,36 months,7.29,A,RENT,32769,credit_card,Fully Paid
1000,36 months,9.63,B,MORTGAGE,25000,credit_card,Fully Paid
4800,60 months,13.06,C,RENT,60000,car,Fully Paid
7000,36 months,5.79,A,RENT,42000,credit_card,Charged Off
16000,36 months,14.54,D,MORTGAGE,55530,debt_consolidation,Charged Off
20000,60 months,16.4,E,MORTGAGE,55000,debt_consolidation,Fully Paid
15000,36 months,11.11,B,RENT,51000,wedding,Fully Paid
12800,36 months,7.29,A,RENT,104000,credit_card,Fully Paid
18000,36 months,14.54,D,RENT,72000,debt_consolidation,Fully Paid
1000,36 months,10,B,RENT,13728,credit_card,Charged Off
13400,36 months,13.06,C,RENT,62040,debt_consolidation,Fully Paid
2400,36 months,6.92,A,MORTGAGE,81504,car,Fully Paid
9600,36 months,5.42,A,MORTGAGE,35500,home_improvement,Fully Paid
3000,36 months,10.37,B,RENT,51996,other,Fully Paid
6800,36 months,9.63,B,MORTGAGE,95000,home_improvement,Fully Paid
24000,60 months,16.02,D,MORTGAGE,90000,credit_card,Charged Off
10000,36 months,7.66,A,MORTGAGE,30000,medical,Fully Paid
6000,36 months,7.66,A,MORTGAGE,47000,debt_consolidation,Fully Paid
2000,36 months,10.74,B,OWN,86004,other,Fully Paid
14500,60 months,11.11,B,MORTGAGE,45000,debt_consolidation,Fully Paid
9600,60 months,10,B,RENT,41000,credit_card,Fully Paid
14400,36 months,10,B,MORTGAGE,50000,debt_consolidation,Fully Paid
23000,60 months,16.02,D,MORTGAGE,72000,debt_consolidation,Fully Paid
25000,60 months,16.02,D,MORTGAGE,60000,small_business,Charged Off
6500,60 months,15.65,D,MORTGAGE,62000,major_purchase,Fully Paid
1200,36 months,10.37,B,RENT,36000,major_purchase,Fully Paid
12000,60 months,10.37,B,RENT,52000,debt_consolidation,Fully Paid
18000,36 months,12.68,C,OWN,334000,debt_consolidation,Fully Paid
10000,36 months,7.29,A,MORTGAGE,82000,debt_consolidation,Fully Paid
10000,36 months,7.29,A,MORTGAGE,38400,debt_consolidation,Fully Paid
20000,36 months,11.11,B,MORTGAGE,110000,debt_consolidation,Fully Paid
2725,36 months,9.63,B,RENT,27000,credit_card,Fully Paid
9000,36 months,5.79,A,RENT,36000,credit_card,Fully Paid
5000,36 months,6.92,A,OWN,40000,debt_consolidation,Fully Paid
10000,36 months,7.66,A,RENT,64583,medical,Fully Paid
4000,36 months,7.29,A,MORTGAGE,37000,debt_consolidation,Fully Paid
7500,36 months,10,B,MORTGAGE,150000,credit_card,Fully Paid
15000,60 months,14.91,D,MORTGAGE,52884,debt_consolidation,Fully Paid
6300,36 months,14.91,D,RENT,75000,debt_consolidation,Fully Paid
5000,36 months,10.74,B,MORTGAGE,132996,other,Charged Off
25000,60 months,15.28,D,MORTGAGE,125000,home_improvement,Fully Paid
4000,36 months,10.74,B,RENT,31000,wedding,Fully Paid
6000,36 months,14.54,D,RENT,41196,credit_card,Fully Paid
10200,36 months,12.68,C,MORTGAGE,75000,debt_consolidation,Fully Paid
14000,36 months,10.37,B,RENT,39000,credit_card,Fully Paid
5000,36 months,17.51,E,RENT,27911.52,moving,Fully Paid
2000,36 months,5.42,A,RENT,18000,other,Fully Paid
25000,60 months,16.02,D,MORTGAGE,120000,small_business,Fully Paid
6300,60 months,13.06,C,MORTGAGE,99840,home_improvement,Fully Paid
15150,36 months,14.54,D,MORTGAGE,45324,debt_consolidation,Fully Paid
12000,36 months,17.88,E,MORTGAGE,57600,small_business,Charged Off
15250,60 months,16.77,E,MORTGAGE,72000,vacation,Charged Off
15600,60 months,16.77,E,MORTGAGE,49000,debt_consolidation,Fully Paid
7500,36 months,16.4,E,RENT,50000,debt_consolidation,Fully Paid
5000,60 months,13.43,C,RENT,40000,debt_consolidation,Charged Off
9875,36 months,7.29,A,RENT,30000,debt_consolidation,Fully Paid
8500,36 months,9.63,B,MORTGAGE,21221,home_improvement,Fully Paid
15250,36 months,14.17,C,RENT,38272,credit_card,Fully Paid
12000,36 months,10.37,B,RENT,42000,debt_consolidation,Fully Paid
24250,36 months,16.02,D,MORTGAGE,120000,major_purchase,Fully Paid
12000,36 months,10,B,MORTGAGE,60000,debt_consolidation,Fully Paid
24250,36 months,16.4,E,MORTGAGE,60996,debt_consolidation,Fully Paid
3000,36 months,16.02,D,RENT,84996,major_purchase,Fully Paid
4500,36 months,5.79,A,OWN,23000,credit_card,Fully Paid
12000,36 months,5.79,A,MORTGAGE,70000,small_business,Fully Paid
11500,36 months,7.29,A,MORTGAGE,25000,credit_card,Fully Paid
10000,36 months,5.79,A,RENT,40000,debt_consolidation,Fully Paid
8000,36 months,5.79,A,OWN,48000,major_purchase,Fully Paid
7200,60 months,13.06,C,RENT,56000,other,Fully Paid
16000,36 months,11.11,B,MORTGAGE,92000,debt_consolidation,Fully Paid
4800,36 months,10.36,B,MORTGAGE,90000,medical,Fully Paid
3600,36 months,16.02,D,RENT,39772,other,Charged Off
25000,36 months,16.02,D,RENT,88000,debt_consolidation,Fully Paid
21000,60 months,14.91,D,MORTGAGE,78000,medical,Fully Paid
3000,36 months,10.37,B,RENT,50000,car,Fully Paid
3500,36 months,11.11,B,RENT,25000,credit_card,Fully Paid
9600,60 months,13.43,C,OWN,62400,wedding,Fully Paid
8000,36 months,10.37,B,RENT,87000,debt_consolidation,Fully Paid
20000,36 months,13.06,C,RENT,1.00E+05,wedding,Fully Paid
13000,36 months,6.92,A,OWN,28800,debt_consolidation,Fully Paid
10800,60 months,14.17,C,RENT,33000,debt_consolidation,Charged Off
17600,60 months,11.11,B,MORTGAGE,87000,debt_consolidation,Charged Off
2000,36 months,13.43,C,RENT,75000,other,Fully Paid
10000,36 months,10.37,B,RENT,72000,other,Fully Paid
25000,36 months,13.06,C,MORTGAGE,138000,other,Fully Paid
13600,36 months,11.11,B,RENT,95000,major_purchase,Fully Paid
25000,60 months,17.14,E,MORTGAGE,165000,debt_consolidation,Fully Paid
25000,60 months,16.02,D,RENT,1.00E+05,debt_consolidation,Charged Off
20000,60 months,16.4,E,MORTGAGE,82284,other,Fully Paid
8000,36 months,10.37,B,RENT,43000,debt_consolidation,Fully Paid
6600,60 months,15.65,D,MORTGAGE,59000,small_business,Fully Paid
13000,60 months,12.68,C,MORTGAGE,65000,debt_consolidation,Fully Paid
10000,36 months,7.29,A,RENT,75000,home_improvement,Fully Paid
9500,36 months,10.37,B,MORTGAGE,90400,other,Fully Paid
14000,60 months,15.28,D,MORTGAGE,45000,debt_consolidation,Fully Paid
5600,60 months,12.68,C,RENT,31000,credit_card,Charged Off
20000,60 months,13.8,C,MORTGAGE,168000,home_improvement,Fully Paid
10000,36 months,5.79,A,RENT,90000,other,Fully Paid
8000,36 months,10.74,B,MORTGAGE,40000,debt_consolidation,Fully Paid
10000,36 months,13.8,C,MORTGAGE,42500,debt_consolidation,Fully Paid
10000,60 months,10.37,B,MORTGAGE,39000,debt_consolidation,Fully Paid
15000,60 months,13.43,C,MORTGAGE,125000,wedding,Fully Paid
10000,60 months,12.68,C,OWN,23000,credit_card,Fully Paid
5000,36 months,5.79,A,OWN,64000,major_purchase,Fully Paid
7750,36 months,7.66,A,OWN,43000,credit_card,Fully Paid
23000,60 months,17.14,E,MORTGAGE,55000,debt_consolidation,Fully Paid
12000,36 months,7.29,A,RENT,35000,wedding,Fully Paid
25000,36 months,10.74,B,MORTGAGE,105000,debt_consolidation,Fully Paid
22000,60 months,17.88,E,RENT,60000,debt_consolidation,Charged Off
25000,36 months,16.4,E,MORTGAGE,62400,debt_consolidation,Charged Off
12000,60 months,14.91,D,RENT,28800,house,Fully Paid
14400,36 months,10.74,B,RENT,1.00E+05,credit_card,Fully Paid
20000,60 months,13.8,C,RENT,47004,other,Fully Paid
6500,36 months,5.42,A,MORTGAGE,480000,home_improvement,Fully Paid
18250,60 months,17.14,E,MORTGAGE,49000,debt_consolidation,Fully Paid
14400,60 months,11.11,B,MORTGAGE,45000,debt_consolidation,Fully Paid
13500,36 months,10,B,MORTGAGE,36000,debt_consolidation,Fully Paid
8500,60 months,17.14,E,RENT,39828,debt_consolidation,Fully Paid
5000,36 months,7.66,A,RENT,1.00E+05,small_business,Fully Paid
9600,36 months,5.79,A,RENT,88000,house,Fully Paid
3600,36 months,9.63,B,RENT,60000,debt_consolidation,Fully Paid
10000,36 months,7.29,A,RENT,48000,small_business,Fully Paid
20000,36 months,11.11,B,MORTGAGE,83000,credit_card,Fully Paid
4800,60 months,15.65,D,RENT,78000,major_purchase,Fully Paid
6700,36 months,7.66,A,RENT,12000,other,Charged Off
10000,36 months,5.79,A,MORTGAGE,90000,car,Fully Paid
12000,36 months,7.29,A,MORTGAGE,140004,other,Fully Paid
